Feed N Plus 2A content,Reactor WAIT,H2 to HC,Reactor 1 Inlet Temp,Reactor 2 Inlet Temp,Reactor 3 Inlet Temp,Reactor 4 Inlet Temp,Reactor 1 Delta T,Reactor 2 Delta T,Reactor 3 Delta T,Reactor 4 Delta T,Reactor 1 Delta P,Reactor 2 Delta P,Reactor 3 Delta P,Reactor 4 Delta P,Seperator Pressure,Seperator Temperature,Recycle gas purity,Net gas Hydrogen Purity,Coke on Spent Catalyst,Chloride Injection rate,Total Paraffins in feed,Total Naphthenes in feed,Total Aromatics in feed,Total olefins in Feed,Reactor LHSV,Feed IBP,50% IBP,WABT,Plant C5PlusYield
47.54,992.82,3.5,978.12,993.02,992.35,1001.79,166.4,112.05,74.48,45.39,0.59,2.57,2.79,3.09,32.75,103.97,81.73,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,195.15,252.5,946.25,86.01
47.54,992.82,3.5,977.74,992.45,992.08,1002.2,166.26,111.75,74.55,45.86,0.59,2.56,2.77,3.05,32.89,103.28,81.73,88.89,2.95,2,63,25.14,11.2,0.67,1.61,195.15,252.5,946.25,86.01
47.54,992.51,3.55,978.19,992.3,993.13,1001.27,166.61,111.28,75.88,45.47,0.58,2.54,2.77,3.06,32.83,102.48,81.73,88.89,2.95,2.01,63,25.14,11.2,0.67,1.61,195.15,252.5,945.98,85.72
47.54,992.51,3.55,978.67,993.82,992.54,1003.45,167.43,109.77,75.29,47.05,0.61,2.58,2.78,3.01,32.92,102.41,82.74,88.89,2.95,2.03,63,25.14,11.2,0.67,1.61,194.6,252.52,945.98,85.72
47.54,992.95,3.54,977,995.47,990.34,1003.52,165.79,109.6,72.65,46.26,0.58,2.52,2.76,2.71,32.57,103.57,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,946.55,86.27
47.54,992.95,3.54,977.43,992.84,991.93,1005.67,166.13,119.59,74.35,48.32,0.6,2.54,2.77,2.47,32.36,105.31,82.74,88.89,2.95,2.05,63,25.14,11.2,0.67,1.61,194.6,252.52,946.55,86.27
47.54,993.23,3.44,977.3,993.16,992.91,1004.17,165.75,116.69,75.4,47.33,0.59,2.54,2.77,2.59,32.28,106.7,82.74,88.89,2.95,2.03,63,25.14,11.2,0.67,1.61,194.6,252.52,946.2,85.94
47.54,993.23,3.44,977.6,992.86,993.27,1004.11,165.96,113.03,75.21,46.24,0.63,2.59,2.79,2.47,32.6,106.58,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.2,85.94
47.54,993.43,3.39,978.13,993.3,993.05,1004.45,166.5,116.05,74.71,47.02,0.62,2.57,2.78,2.61,32.39,107.18,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.65,85.79
47.54,993.43,3.39,977.26,993.09,993.95,1003.92,165.26,115.88,75.15,45.5,0.6,2.55,2.77,2.52,32.24,107.13,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,946.65,85.79
47.54,993.34,3.42,977.63,993.62,993.78,1003.81,166.1,114.64,75.82,46.54,0.62,2.56,2.78,2.72,32.04,107.34,82.74,88.89,2.95,2.05,63,25.14,11.2,0.67,1.61,194.6,252.52,946.54,85.83
47.54,993.34,3.42,978.04,993.51,994.64,1004.18,166.32,111.46,76.11,46.24,0.62,2.55,2.79,2.55,31.85,107.27,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.54,85.83
47.54,993.46,3.42,977.22,992.56,994.91,1003.56,165.4,112.55,76,45.3,0.63,2.56,2.79,2.82,31.9,107.15,82.74,88.89,2.95,1.95,63,25.14,11.2,0.67,1.61,194.6,252.52,947,85.61
47.54,993.46,3.42,978.33,993.14,993.45,1004.03,165.92,113.24,74.22,45.25,0.65,2.57,2.82,2.94,32.21,106.84,82.74,88.89,2.95,1.98,63,25.14,11.2,0.67,1.61,194.6,252.52,947,85.61
47.54,993.4,3.44,977.79,993.47,993.45,1003.86,165.98,113.93,74.81,45.64,0.61,2.58,2.8,3.09,32.14,106.59,82.74,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,194.6,252.52,946.97,85.6
47.54,993.4,3.44,978.17,993.18,993.19,1003.62,166.37,113.84,74.5,45.17,0.62,2.56,2.78,3.13,32.22,106.12,82.74,88.89,2.95,1.97,63,25.14,11.2,0.67,1.61,194.6,252.52,946.97,85.6
47.54,993.31,3.45,977.72,992.46,992.2,1003.16,165.6,112.78,73.65,44.75,0.64,2.58,2.81,3.08,32.47,105.77,82.74,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,194.6,252.52,946.87,85.69
47.54,993.31,3.45,977.48,992.82,992.58,1003.4,165.65,113.19,74.01,45.1,0.63,2.56,2.79,3.08,32.48,105.31,82.74,88.89,2.95,2,63,25.14,11.2,0.67,1.61,194.6,252.52,946.87,85.69
47.54,993.28,3.47,977.34,993.11,994.4,1003.4,166.25,113.55,76.3,45.54,0.63,2.54,2.8,3.02,32.49,104.86,82.74,88.89,2.95,1.96,63,25.14,11.2,0.67,1.61,194.6,252.52,946.86,85.59
47.54,993.28,3.47,977.82,994.17,992.86,1004.05,166.44,114.4,74.15,45.57,0.6,2.56,2.77,3.12,32.61,103.56,82.74,88.89,2.95,1.99,63,25.14,11.2,0.67,1.61,194.6,252.52,946.86,85.59
48.1,993.35,3.51,978.08,993.15,992.86,1003.9,166.32,114.03,73.85,45.13,0.57,2.52,2.78,3.1,32.64,102.77,82.74,88.89,2.95,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.83,85.77
48.1,993.35,3.51,978.38,992.8,993.09,1003.79,166.48,113.82,74.14,44.91,0.6,2.55,2.8,3.06,32.63,102.48,82.74,88.89,2.95,1.99,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.83,85.77
48.1,993.29,3.57,978.88,993.73,994.2,1003.85,167.44,114.56,75.35,45.37,0.6,2.57,2.81,3.11,32.8,103.44,82.74,88.89,2.95,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.88,85.87
48.1,993.29,3.57,977.84,993.84,992.74,1003.79,166.39,114.97,74.33,45.46,0.6,2.56,2.79,2.85,32.49,104.2,82.74,88.89,2.95,2.02,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.88,85.87
48.1,993.3,3.54,977.34,992.95,993.02,1004.02,165.75,114.56,74.18,45.11,0.56,2.55,2.81,2.97,32.6,104.19,82.74,88.89,2.95,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.7,85.56
48.1,993.3,3.54,976.84,991.75,993.26,1003.22,165.46,112.69,74.41,44.19,0.56,2.58,2.8,2.51,32.2,104.7,82.74,88.89,2.95,2.01,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.7,85.56
48.1,993.38,3.58,978.73,993.16,993.16,1003.42,167.82,114.44,74.7,44.71,0.55,2.55,2.79,2.48,32.14,104.12,82.74,88.89,2.95,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.75,85.38
48.1,993.38,3.58,977.78,993.06,994.5,1003.19,167.05,107.31,76.14,44.55,0.56,2.58,2.8,2.64,32.67,103.68,82.74,88.89,2.95,2.04,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.75,85.38
48.1,993.38,3.54,977.85,993.41,994.28,1004.23,166.38,106.34,75.02,45.02,0.59,2.59,2.8,2.63,32.24,106.25,82.74,88.89,2.95,2.04,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.35,85.5
48.1,993.38,3.54,976.54,992.29,993.63,1003.32,165.89,119.36,74.97,44.95,0.56,2.55,2.78,2.99,31.69,108.15,82.74,88.89,2.95,2.03,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.35,85.5
48.1,993.42,3.42,978.37,993.89,995.42,1003.88,166.47,116.6,75.43,44.3,0.59,2.6,2.83,3.1,32.33,107.42,82.74,88.89,2.95,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.65,85.39
48.1,993.42,3.42,977.38,992.4,993.18,1003.24,166.18,115.01,73.96,44.19,0.57,2.56,2.8,2.9,31.75,107.41,82.74,88.89,2.95,1.99,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.65,85.39
48.1,993.5,3.48,978.14,993.15,994.77,1003.78,167.28,116.05,75.4,44.5,0.61,2.55,2.78,2.99,31.76,106.48,82.74,88.89,2.95,0.48,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.82,85.19
48.1,993.5,3.48,977.37,992.45,992.92,1003.23,166.72,113.65,73.94,44.2,0.65,2.57,2.78,2.86,32.01,105.09,82.74,88.89,2.95,2.03,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.82,85.19
48.1,993.4,3.52,976.77,992.31,994.24,1003.44,165.45,113.48,74.36,43.66,0.63,2.56,2.78,3.09,31.84,106.98,82.74,88.89,2.95,2.05,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.82,85.47
48.1,993.4,3.52,973.55,990.62,991.13,1001.25,163.82,111.38,73.67,44.05,0.62,2.56,2.77,2.86,31.92,106.02,82.74,88.89,4.43,2.01,62.29,25.92,11.09,0.67,1.61,194.6,252.52,946.82,85.47
48.1,991.68,3.54,975.87,992.22,992.68,1003.26,165.6,111.65,74.46,45,0.65,2.57,2.78,3.14,31.84,106.24,82.74,88.89,4.43,1.99,62.29,25.92,11.09,0.67,1.61,194.6,252.52,945.6,85.18
48.1,991.68,3.54,977.72,993.68,993.64,1003.99,166.42,112.39,74.64,44.69,0.65,2.58,2.82,3.11,31.97,106.62,82.74,88.89,4.43,2.01,62.29,25.92,11.09,0.67,1.61,194.6,252.52,945.6,85.18
48.1,993.44,3.44,977.46,993.16,994.18,1003.6,166.06,110.61,74.94,43.85,0.62,2.55,2.77,2.64,31.59,108.28,82.74,88.89,4.43,2.01,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.15,85.71
48.1,993.44,3.44,977.7,992.57,993.07,1003.84,166.12,110.44,73.7,44.21,0.63,2.57,2.8,2.66,31.33,109.38,82.74,88.89,4.43,2.03,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.15,85.71
48.1,993.5,3.42,978.24,993.45,993.86,1003.66,166.89,111.3,75.17,44.52,0.63,2.56,2.72,2.66,31.57,108.51,82.74,88.89,4.43,1.97,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.31,85.31
48.1,993.5,3.42,977.42,992.51,993.45,1003.59,165.5,109.99,73.7,43.66,0.65,2.58,2.82,2.69,31.6,109.14,82.74,88.89,4.43,2,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.31,85.31
48.1,993.43,3.45,977.65,992.91,994.47,1003.39,166.22,111.19,75.25,44.17,0.68,2.61,2.8,2.69,31.52,109.92,82.74,88.89,4.43,2.02,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.4,85.18
48.1,993.43,3.45,978.6,993.69,995.21,1004.28,166.75,111.25,74.95,43.83,0.64,2.58,2.82,3.11,31.74,108.47,82.74,88.89,4.43,1.99,62.29,25.92,11.09,0.67,1.61,194.6,252.52,947.4,85.18
50.8,993.48,3.47,978.22,993.43,995.06,1003.92,166.42,112.32,75.22,44.13,0.62,2.59,2.8,3.1,31.8,107.85,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,947.42,85.24
50.8,993.48,3.47,976.91,992.29,993.54,1003.7,165.04,111.16,74,44.01,0.65,2.56,2.82,3.09,31.85,108.1,82.74,88.89,4.43,2,60.89,26.86,11.97,0.24,1.6,196.05,252.51,947.42,85.24
50.8,993.34,3.53,977.8,993.4,992.62,1004.03,165.57,111.05,73.44,44.52,0.66,2.6,2.81,3.1,31.65,108.84,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.36,85.29
50.8,993.34,3.53,978.27,993.25,993.17,1003.39,165.8,110.33,73.8,44.03,0.69,2.61,2.84,3.14,31.86,109.06,82.74,88.89,4.43,2,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.36,85.29
50.8,993.26,3.51,978.64,992.85,992.53,1003.78,165.8,109.35,73.04,44.04,0.68,2.6,2.83,2.91,31.94,108.73,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.44,85.15
50.8,993.26,3.51,977.69,993.35,993.52,1003.33,164.66,109.96,74.14,43.93,0.65,2.57,2.82,2.94,31.93,108.9,82.74,88.89,4.43,1.99,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.44,85.15
50.8,993.26,3.5,978.77,994.16,993.05,1003.43,166.28,111.39,74.06,44.33,0.66,2.59,2.82,2.93,31.75,109,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.51,84.95
50.8,993.26,3.5,978.01,993.11,993.32,1004.93,165.52,109.57,73.68,44.65,0.69,2.6,2.83,2.88,31.95,109.6,82.74,88.89,4.43,2.1,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.51,84.95
50.8,993.44,3.48,978.52,993.49,994.98,1004.08,166.12,111.23,75.5,44.52,0.64,2.58,2.82,2.89,31.06,113.36,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.54,85.11
50.8,993.58,3.45,978.41,993.37,993.5,1004.05,165.84,111.21,73.69,44.22,0.65,2.59,2.84,2.95,31.39,111.7,82.74,88.89,4.43,1.97,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.56,84.95
50.8,993.58,3.45,977.93,992.95,993.65,1003.67,165.57,111.08,74.03,44.1,0.67,2.62,2.84,3.05,32.03,110,82.74,88.89,4.43,1.97,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.56,84.95
50.8,993.46,3.52,978.38,992.62,993.78,1003.6,165.61,110.44,73.51,43.33,0.67,2.6,2.83,2.86,32.08,110.42,82.74,88.89,4.43,1.97,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.67,84.81
50.8,993.46,3.52,978.41,993.02,993.49,1004.2,165.88,111.15,73.47,44.35,0.66,2.59,2.79,2.98,31.79,110.71,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.67,84.81
50.8,993.55,3.52,977.93,992.43,994.07,1003.67,165.4,110.12,74.17,43.78,0.64,2.56,2.81,3.07,31.74,110.6,82.74,88.89,4.43,2.02,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.68,85.12
50.8,993.55,3.52,978.49,993.28,995.16,1004.22,165.83,110.21,75.1,44.51,0.63,2.58,2.82,3.17,31.85,110.61,82.74,88.89,4.43,1.97,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.68,85.12
50.8,993.55,3.52,977.96,992.53,994.11,1004,164.74,109.02,73.49,43.77,0.66,2.61,2.86,3.13,32.11,110.67,82.74,88.89,4.43,1.95,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.79,85.11
50.8,993.55,3.52,978.77,993.8,994.1,1004.2,165.89,110.39,74.01,44.36,0.66,2.59,2.82,3,32,110.49,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.79,85.11
50.8,993.6,3.53,978.92,993.24,994.29,1003.84,166.28,110.15,74.31,43.79,0.67,2.6,2.81,2.6,32.01,109.9,82.74,88.89,4.43,1.95,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.9,84.97
50.8,993.6,3.53,977.37,992.22,994.63,1003.81,164.09,109.54,73.84,43.36,0.6,2.61,2.82,2.95,32.17,110.12,82.74,88.89,4.43,1.99,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.9,84.97
50.8,993.43,3.55,978.04,992.57,993.35,1003.96,165.58,112.06,73.25,43.66,0.67,2.59,2.84,3.15,32.58,108.01,82.74,88.89,4.43,2.01,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.67,85.04
50.8,993.43,3.55,977.98,991.97,994.25,1003.64,165.26,111.35,73.75,43.45,0.57,2.59,2.81,3.09,32.36,108.12,82.74,88.89,4.43,2,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.67,85.04
50.8,993.42,3.55,977.92,993,994.55,1003.69,165.97,113.34,74.98,44.32,0.59,2.57,2.81,2.76,32.14,109.46,82.74,88.89,4.43,2.03,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.5,85.12
50.8,993.42,3.55,977.75,992.15,994.6,1003.9,165.06,111.38,74.18,43.55,0.58,2.59,2.83,2.74,32.38,109.82,82.74,88.89,4.43,2,60.89,26.86,11.97,0.24,1.6,196.05,252.51,946.5,85.12
49.33,993.44,3.54,977.18,992.48,993.4,1004.02,164.93,113.2,73.42,44.3,0.66,2.59,2.82,3.17,32.43,109.35,82.74,88.89,4.43,2.01,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.41,85.16
49.33,993.44,3.54,977.75,992.99,994.43,1004.44,165.38,113.05,74.06,44.19,0.67,2.61,2.86,3.1,32.23,109.51,82.74,88.89,4.43,2.03,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.41,85.16
49.33,993.31,3.59,978.31,993.46,995.11,1003.77,165.69,111.54,75.29,44.6,0.65,2.62,2.75,2.93,31.91,110.65,82.74,88.89,4.43,1.99,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.13,84.98
49.33,993.31,3.59,977.14,992.5,993.36,1003.46,164.43,109.55,73.5,44.22,0.64,2.61,2.83,3.09,32.05,111.1,82.74,88.89,4.43,1.99,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.13,84.98
49.33,993.32,3.52,978.54,993.08,992.98,1003.71,165.9,111.3,73.6,44.31,0.64,2.58,2.82,2.67,31.87,111.66,82.74,88.89,4.43,1.98,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.49,85.58
49.33,993.32,3.52,977.89,993.44,994.32,1004.16,165.08,113.17,74.43,44.33,0.67,2.6,2.81,2.58,32.03,111.48,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.49,85.58
49.33,993.44,3.54,977.15,992.43,994.03,1003.57,164.92,112.52,74.1,43.78,0.62,2.55,2.8,2.78,32.21,109.36,82.74,88.89,4.43,3.32,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.19,85.18
49.33,993.44,3.54,978.23,993.9,994.09,1003.87,165.42,112.89,74.12,43.83,0.63,2.58,2.81,2.9,32.28,109.1,82.74,88.89,4.43,1.99,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.19,85.18
49.33,993.45,3.63,977.97,992.86,994.27,1004.3,165.46,112.59,74.19,44.02,0.63,2.58,2.83,2.82,32.47,107.22,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.39,84.83
49.33,993.45,3.63,978.82,993.99,992.58,1003.68,166.21,113.81,73.09,44.79,0.66,2.59,2.85,2.96,32.57,108.15,82.74,88.89,4.43,1.99,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.39,84.83
49.33,993.42,3.55,979.01,995.19,993.18,1001.74,166.24,115.43,73.44,43.18,0.61,2.57,2.82,3.08,32.47,107.93,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.18,85.27
49.33,993.42,3.55,979.78,995.25,992.74,1003.48,166.55,114.66,72.87,44.58,0.65,2.6,2.83,3.09,32.6,108.47,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.18,85.27
49.33,993.45,3.53,978.84,995.64,993.34,1001.58,165.29,115.01,73.18,42.55,0.64,2.59,2.84,2.92,32.31,109.4,82.74,88.89,4.43,2.03,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.28,85.37
49.33,993.45,3.53,979.3,996.1,994.57,1002.28,165.32,115,74.31,43.16,0.66,2.62,2.86,2.94,32.49,109.41,82.74,88.89,4.43,2.02,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.28,85.37
49.33,993.44,3.52,978.64,995.24,992.78,1001.59,164.9,113.89,72.14,42.34,0.65,2.62,2.85,2.86,32.28,109.16,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.3,85.15
49.33,993.44,3.52,979.57,996.23,994.1,1002.32,165.55,114.34,72.91,42.59,0.65,2.61,2.83,3.17,32.74,108.31,82.74,88.89,4.43,1.98,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.3,85.15
49.33,993.45,3.57,977.68,995.19,992.11,1001.49,164.12,114.29,72.07,42.22,0.64,2.59,2.83,3.09,32.79,107.89,82.74,88.89,4.43,0.02,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.58,84.92
49.33,993.45,3.57,978.16,995.78,993.3,1001.23,164.78,114.56,72.8,42.33,0.65,2.6,2.82,3.08,32.82,107.25,82.74,88.89,4.43,0,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.58,84.92
49.33,993.46,3.59,977.84,995.64,993.56,1001.4,163.94,113.65,72.18,41.55,0.66,2.62,2.86,3.1,33.01,106.32,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.54,85.01
49.33,993.42,3.6,978.51,994.46,992.5,1002.98,164.74,113.06,72.06,43.96,0.65,2.6,2.85,3.16,33.33,105.23,82.74,88.89,4.43,1.99,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.55,85.21
49.33,993.42,3.6,979.38,994.65,994.01,1002.51,164.76,112.85,73.04,42.2,0.67,2.6,2.85,3.07,33.28,104.94,82.74,88.89,4.43,1.97,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.55,85.21
49.33,993.4,3.65,979.27,994.96,993.16,1002.11,165.04,112.81,72.08,42.01,0.66,2.62,2.81,3.01,33.36,104.74,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.62,85.09
49.33,993.4,3.65,979.2,993.25,993,1002.09,165.28,112.22,72.4,42.48,0.67,2.62,2.84,3.01,33.37,104.58,82.74,88.89,4.43,2,60.38,28.01,10.66,0.72,1.6,198.81,252.5,946.62,85.09
48.15,993.41,3.64,979.59,994.35,993.08,1002.2,165.8,114.18,72.95,42.95,0.67,2.58,2.82,3.14,33.33,104.4,82.74,88.51,4.43,2,62.16,26.29,10.93,0.61,1.61,200.44,252.52,946.52,85.11
48.15,993.41,3.64,978.12,995.4,992.5,1001.17,164.44,114.95,71.75,41.51,0.65,2.58,2.8,2.86,32.46,107.19,82.74,88.51,4.43,1.98,62.16,26.29,10.93,0.61,1.61,200.44,252.52,946.52,85.11
48.15,993.39,3.62,976.87,992.73,993.41,1002.48,162.9,112.23,72.65,43.22,0.66,2.56,2.81,3.14,32.85,107.12,82.74,88.51,4.43,1.99,62.16,26.29,10.93,0.61,1.61,200.44,252.52,946.56,85.14
48.15,993.39,3.62,979.46,996.15,994.09,1002.46,165.54,115.18,72.89,42.2,0.64,2.59,2.81,2.98,32.6,106.86,82.74,88.51,4.43,2.01,62.16,26.29,10.93,0.61,1.61,200.44,252.52,946.56,85.14
47.32,993.16,3.75,973.05,996.96,990.56,999.12,160.46,116.3,70.31,41.07,0.63,2.56,2.82,3.13,32.82,104.53,82.74,88.51,4.43,1.98,63.57,24.86,11.23,0.33,1.56,201.56,252.33,946.45,85
47.32,993.16,3.75,974.47,995.95,991.18,999.6,161.34,114.23,70.63,40.98,0.64,2.55,2.78,3.08,33,102.9,82.74,88.51,4.43,2.01,63.57,24.86,11.23,0.33,1.56,201.56,252.33,946.45,85
47.32,991.53,3.96,975.5,994.53,992.08,1000.47,161.39,111.93,70.56,41.04,0.63,2.54,2.78,2.97,32.86,104.19,82.74,88.51,4.43,2.04,63.57,24.86,11.23,0.33,1.56,201.56,252.33,946.01,84.72
47.32,991.53,3.96,975.27,995.09,992.46,1000.67,161.79,111.68,71.26,41.32,0.62,2.53,2.78,2.91,32.57,104.62,82.96,88.51,4.43,2.03,63.57,24.86,11.23,0.33,1.52,201.56,252.35,946.01,84.72
47.32,989.36,3.94,965.89,989.74,985.74,994.43,156.78,109.12,70.32,42.92,0.6,2.52,2.71,2.46,32.5,106.44,82.96,88.51,4.43,2.02,63.57,24.86,11.23,0.33,1.52,201.56,252.35,944.14,85.04
47.32,989.36,3.94,966.46,989.63,987.7,995.92,157.13,121.59,72.41,43.07,0.59,2.55,2.79,2.45,32.36,107.69,82.96,88.51,4.43,2.02,63.57,24.86,11.23,0.33,1.52,201.56,252.35,944.14,85.04
47.32,986.21,3.86,965.8,988.42,985.86,995.4,156.2,116.4,70.25,42.24,0.58,2.57,2.8,2.42,31.87,107.53,82.96,88.51,4.43,2.02,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.54,86.18
47.32,986.21,3.86,965.32,989.45,987.35,995.16,155.66,111.68,72.27,42.17,0.53,2.52,2.62,2.42,31.11,108.66,82.96,88.51,4.43,2.03,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.54,86.18
47.32,986.13,3.9,966.09,988.96,986.94,995.52,156.3,112.89,71.29,42.38,0.57,2.54,2.78,2.59,30.82,108.67,82.96,88.51,4.43,2.02,63.57,24.86,11.23,0.33,1.52,201.56,252.35,941.01,85.32
47.32,986.13,3.9,967.55,989.62,988.03,997.05,157.24,115.28,72.66,44.09,0.53,2.56,2.77,2.44,30.3,109.38,82.96,88.51,4.43,2.01,63.57,24.86,11.23,0.33,1.52,201.56,252.35,941.01,85.32
47.32,986.28,3.85,965.21,988.47,986.47,995.26,155.36,111.15,71.42,42.15,0.53,2.54,2.78,3.04,31.31,109.77,82.96,88.51,4.43,2,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.78,85.2
47.32,986.28,3.85,966.92,989.36,987.42,995.65,156.72,110.56,72.16,42.22,0.57,2.54,2.78,3.08,32.31,109.66,82.96,88.51,4.59,1.96,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.78,85.2
47.32,986.19,3.78,965.84,989.38,987.26,995.61,156.2,113.32,71.82,42.14,0.6,2.55,2.78,3.1,32.3,109.14,82.96,88.51,4.59,1.97,63.57,24.86,11.23,0.33,1.52,201.56,252.35,941.11,85.42
47.32,986.19,3.78,966.01,989.99,986.89,995.47,156.74,114.6,71.92,42.59,0.59,2.55,2.78,3.05,32.33,108.6,82.96,88.51,4.59,2.01,63.57,24.86,11.23,0.33,1.52,201.56,252.35,941.11,85.42
47.32,986.18,3.88,965.56,989.11,987.41,995.47,156.28,113.36,72.64,42.47,0.57,2.54,2.77,2.89,32.35,108.44,82.96,88.51,4.59,1.99,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.85,85.23
47.32,986.18,3.88,965.87,989.44,988.7,996.36,156.26,113.23,73.51,42.85,0.57,2.5,2.76,3.08,32.55,108.13,82.96,88.51,4.59,2,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.85,85.23
47.32,986.23,3.96,966.33,989.36,987.67,995.81,156.64,113.58,72.49,42.13,0.55,2.54,2.76,3.06,32.72,107.87,82.96,88.51,4.59,2,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.89,85.18
47.32,986.23,3.96,965.38,989.01,987.32,995.1,155.75,113.34,72.57,42.19,0.57,2.54,2.78,2.95,32.71,107.61,82.96,88.51,4.59,2,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.89,85.18
47.32,986.17,3.98,966.5,989.34,986.86,995.71,157.18,113.7,72.37,42.72,0.55,2.54,2.77,2.97,32.5,107.05,82.96,88.51,4.59,2,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.77,85.38
47.32,986.17,3.98,966.2,988.89,986.65,995.4,156.65,112.53,71.88,42.29,0.57,2.56,2.8,3.1,32.85,106.52,82.96,88.51,4.59,2.01,63.57,24.86,11.23,0.33,1.52,201.56,252.35,940.77,85.38
